char,deltaup,deltadown,downtime,uptime,char_index,user
4,0,0.05859947204589844,0,0.05859947204589844,0,person1
w,0.46201324462890625,0.06557250022888184,0.3964407444000244,0.46201324462890625,1,person1
o,0.536818265914917,0.06513476371765137,0.86812424659729,0.9332590103149414,2,person1
r,0.5433967113494873,0.05869722366333008,1.3528237342834473,1.4115209579467773,3,person1
d,0.27785634994506836,0.06491684913635254,1.565763235092163,1.6306800842285156,4,person1
s,0.14102506637573242,0.06464409828186035,1.6421442031860352,1.7067883014678955,5,person1
a,0.4847896099090576,0.06816458702087402,2.0587692260742188,2.1269338130950928,6,person1
l,0.499880313873291,0.05567169189453125,2.5029778480529785,2.5586495399475098,7,person1
l,0.20986342430114746,0.06244802474975586,2.65039324760437,2.712841272354126,8,person1
l,0.6242265701293945,0.05904722213745117,3.2155725955963135,3.2746198177337646,9,person1
o,0.21803736686706543,0.061959028244018555,3.3716509342193604,3.433609962463379,10,person1
w,0.4437906742095947,0.07543206214904785,3.7400095462799072,3.815441608428955,11,person1
e,0.29704952239990234,0.05887746810913086,3.9781816005706787,4.03705906867981,12,person1
r,0.22650909423828125,0.0617825984954834,4.142908096313477,4.20469069480896,13,person1
c,0.40747594833374023,0.05897831916809082,4.491405725479126,4.550384044647217,14,person1
a,0.1621999740600586,0.06856274604797363,4.585042953491211,4.653605699539185,15,person1
s,0.2000443935394287,0.049118757247924805,4.735968589782715,4.78508734703064,16,person1
e,0.2091217041015625,0.06205177307128906,4.883038520812988,4.945090293884277,17,person1
4,0,0.05031919479370117,0,0.05031919479370117,0,person1
w,0.5710916519165039,0.04253029823303223,0.5285613536834717,0.5710916519165039,1,person1
o,0.2957439422607422,0.05368804931640625,0.7706172466278076,0.8243052959442139,2,person1
r,0.4856851100921631,0.04945826530456543,1.2068440914154053,1.2563023567199707,3,person1
d,0.20733404159545898,0.06203269958496094,1.3521454334259033,1.4141781330108643,4,person1
s,0.18422174453735352,0.06532835960388184,1.471038818359375,1.5363671779632568,5,person1
a,0.5312511920928955,0.0661170482635498,1.9361729621887207,2.0022900104522705,6,person1
l,0.4666476249694824,0.058518171310424805,2.3443024158477783,2.402820587158203,7,person1
l,0.20264816284179688,0.06186103820800781,2.4850895404815674,2.546950578689575,8,person1
l,0.5663809776306152,0.054689645767211914,2.9967808723449707,3.0514705181121826,9,person1
o,0.223771333694458,0.05515599250793457,3.165396213531494,3.2205522060394287,10,person1
w,1.640721082687378,0.06914067268371582,4.736976623535156,4.806117296218872,11,person1
e,0.2520265579223633,0.05204510688781738,4.936958074569702,4.9890031814575195,12,person1
r,0.21613597869873047,0.05595541000366211,5.0971386432647705,5.153094053268433,13,person1
c,0.8880722522735596,0.06565237045288086,5.919558525085449,5.98521089553833,14,person1
a,0.14722919464111328,0.05559945106506348,6.011188268661499,6.0667877197265625,15,person1
s,0.18358945846557617,0.054567813873291016,6.140209913253784,6.194777727127075,16,person1
e,0.22816848754882812,0.06537103652954102,6.303007364273071,6.368378400802612,17,person1
4,0,0.06012272834777832,0,0.06012272834777832,0,person1
w,0.7449536323547363,0.05247926712036133,0.692474365234375,0.7449536323547363,1,person1
o,0.214918851852417,0.05479073524475098,0.852602481842041,0.907393217086792,2,person1
r,0.4543745517730713,0.04604196548461914,1.2609350681304932,1.3069770336151123,3,person1
d,0.20690226554870605,0.06065797805786133,1.407179355621338,1.4678373336791992,4,person1
s,0.17220163345336914,0.059363365173339844,1.5200176239013672,1.579380989074707,5,person1
a,0.44971728324890137,0.058304548263549805,1.9109349250793457,1.9697349071502686,6,person1
l,0.4772491455078125,0.05836915969848633,2.330310344696045,2.3886795043945312,7,person1
l,0.20720314979553223,0.05867433547973633,2.478839159011841,2.537513494491577,8,person1
l,0.4478166103363037,0.05577707290649414,2.8708786964416504,2.9266557693481445,9,person1
o,0.2231459617614746,0.0553288459777832,3.038695812225342,3.094024658203125,10,person1
w,0.45950913429260254,0.05883502960205078,3.4393699169158936,3.4982049465179443,11,person1
e,0.23189234733581543,0.04916501045227051,3.6220972537994385,3.671262264251709,12,person1
r,0.20222020149230957,0.0602264404296875,3.7640910148620605,3.824317455291748,13,person1
c,0.28597426414489746,0.058901309967041016,3.991163969039917,4.050065279006958,14,person1
a,0.14029192924499512,0.05207967758178711,4.079376220703125,4.131455898284912,15,person1
s,0.19800257682800293,0.04796791076660156,4.229410886764526,4.277873754501343,16,person1
e,0.21117734909057617,0.052962303161621094,4.3876259326934814,4.4405882358551025,17,person1
4,0,0.06219053268432617,0,0.06219053268432617,0,person1
w,0.5399503707885742,0.0756077766418457,0.4643425941467285,0.5399503707885742,1,person1
o,0.3896031379699707,0.06525111198425293,0.7886946201324463,0.8539457321166992,2,person1
r,0.4678020477294922,0.05876636505126953,1.197730302810669,1.2564966678619385,3,person1
d,0.26013994216918945,0.0664057731628418,1.3914644718170166,1.4578702449798584,4,person1
s,0.20642662048339844,0.06911969184875488,1.5287714004516602,1.597891092300415,5,person1
a,0.5843508243560791,0.062150001525878906,2.0509722232818604,2.1131222248077393,6,person1
l,0.4492008686065674,0.05917024612426758,2.44100284576416,2.5001730918884277,7,person1
l,0.21101808547973633,0.058691978454589844,2.5933289527893066,2.6520209312438965,8,person1
l,0.6554055213928223,0.055074214935302734,3.193660259246826,3.248734474182129,9,person1
o,0.2170124053955078,0.055071353912353516,3.3556013107299805,3.410672664642334,10,person1
w,0.6268374919891357,0.062259674072265625,3.9201791286468506,3.982438802719116,11,person1
e,0.2383439540863037,0.05496644973754883,4.1035566329956055,4.158523082733154,12,person1
r,0.2457127571105957,0.06202840805053711,4.287240982055664,4.349269390106201,13,person1
c,0.3549613952636719,0.048487186431884766,4.593715190887451,4.642202377319336,14,person1
a,0.14027690887451172,0.07033348083496094,4.663658618927002,4.733992099761963,15,person1
s,0.1888725757598877,0.04576849937438965,4.8067626953125,4.85253119468689,16,person1
e,0.20876145362854004,0.05560111999511719,4.959923028945923,5.01552414894104,17,person1
4,0,0.05216646194458008,0,0.05216646194458008,0,person1
w,0.4691612720489502,0.07187747955322266,0.39728379249572754,0.4691612720489502,1,person1
o,0.40892934799194336,0.05516386032104492,0.751049280166626,0.8062131404876709,2,person1
r,0.47091150283813477,0.05438590049743652,1.1675748825073242,1.2219607830047607,3,person1
d,0.2801244258880615,0.0588376522064209,1.3888616561889648,1.4476993083953857,4,person1
s,0.14863348007202148,0.06484532356262207,1.4726498126983643,1.5374951362609863,5,person1
a,0.5060374736785889,0.06609773635864258,1.9125895500183105,1.9786872863769531,6,person1
l,0.38542842864990234,0.05171561241149902,2.246302366256714,2.298017978668213,7,person1
l,0.1991262435913086,0.05562472343444824,2.389803886413574,2.4454286098480225,8,person1
l,0.46640920639038086,0.05893564224243164,2.7972774505615234,2.856213092803955,9,person1
o,0.21907567977905273,0.05581331253051758,2.9605398178100586,3.016353130340576,10,person1
w,0.3593170642852783,0.05835700035095215,3.2614998817443848,3.319856882095337,11,person1
e,0.24653983116149902,0.05204963684082031,3.4559900760650635,3.508039712905884,12,person1
r,0.20339226722717285,0.0517430305480957,3.6076393127441406,3.6593823432922363,13,person1
c,0.24912738800048828,0.05707836151123047,3.7996883392333984,3.856766700744629,14,person1
a,0.14899349212646484,0.05585074424743652,3.8928310871124268,3.9486818313598633,15,person1
s,0.20373249053955078,0.04600191116333008,4.0505616664886475,4.0965635776519775,16,person1
e,0.21111035346984863,0.05517435073852539,4.206497669219971,4.261672019958496,17,person1
4,0,0.05566215515136719,0,0.05566215515136719,0,person1
w,0.5549290180206299,0.055170297622680664,0.4997587203979492,0.5549290180206299,1,person1
o,0.30001211166381836,0.05906867980957031,0.7407021522521973,0.7997708320617676,2,person1
r,0.42249035835266113,0.055895090103149414,1.107297420501709,1.1631925106048584,3,person1
d,0.24934792518615723,0.051548004150390625,1.3050973415374756,1.3566453456878662,4,person1
s,0.16218090057373047,0.06252121925354004,1.404757022857666,1.467278242111206,5,person1
a,0.4237046241760254,0.04880475997924805,1.7796568870544434,1.8284616470336914,6,person1
l,0.2274158000946045,0.04182147979736328,1.9652512073516846,2.007072687149048,7,person1
l,0.19389677047729492,0.055909156799316406,2.103238821029663,2.1591479778289795,8,person1
l,0.30436253547668457,0.055672645568847656,2.3519287109375,2.4076013565063477,9,person1
o,0.20862913131713867,0.052134037017822266,2.5084238052368164,2.5605578422546387,10,person1
w,0.2885098457336426,0.06222963333129883,2.73470401763916,2.796933650970459,11,person1
e,0.22762489318847656,0.049723148345947266,2.9126057624816895,2.962822914123535,12,person1
r,0.19836759567260742,0.06189155578613281,3.049081802368164,3.110973358154297,13,person1
c,0.25843310356140137,0.06573891639709473,3.2417759895324707,3.3075149059295654,14,person1
a,0.15141010284423828,0.052536964416503906,3.340649127960205,3.393186092376709,15,person1
s,0.1977250576019287,0.052155494689941406,3.4862186908721924,3.538374185562134,16,person1
e,0.19856572151184082,0.05643916130065918,3.628345251083374,3.684784412384033,17,person1
4,0,0.049124717712402344,0,0.049124717712402344,0,person1
w,0.5943944454193115,0.05916404724121094,0.5352303981781006,0.5943944454193115,1,person1
o,0.3650848865509033,0.05850625038146973,0.8418090343475342,0.9003152847290039,2,person1
r,0.41144847869873047,0.05545783042907715,1.1977996826171875,1.2532575130462646,3,person1
d,0.28644609451293945,0.06151747703552246,1.4227283000946045,1.484245777130127,4,person1
s,0.15968775749206543,0.06227517127990723,1.5201408863067627,1.58241605758667,5,person1
a,0.4981672763824463,0.05574321746826172,1.9625649452209473,2.018308162689209,6,person1
l,0.29762911796569824,0.05611562728881836,2.204078435897827,2.2601940631866455,7,person1
l,0.20493769645690918,0.05533647537231445,2.353679656982422,2.4090161323547363,8,person1
l,0.45959973335266113,0.060214996337890625,2.7530643939971924,2.813279390335083,9,person1
o,0.21907734870910645,0.05943632125854492,2.912705421447754,2.972141742706299,10,person1
w,0.6081550121307373,0.05547666549682617,3.465383768081665,3.520860433578491,11,person1
e,0.2377011775970459,0.0525670051574707,3.6505179405212402,3.703084945678711,12,person1
r,0.22359681129455566,0.04840874671936035,3.8257060050964355,3.874114751815796,13,person1
c,0.34298014640808105,0.054813385009765625,4.113872766494751,4.168686151504517,14,person1
a,0.1558067798614502,0.052102088928222656,4.2175774574279785,4.269679546356201,15,person1
s,0.1707015037536621,0.04898977279663086,4.33928918838501,4.388278961181641,16,person1
e,0.21251678466796875,0.0552372932434082,4.49656867980957,4.5518059730529785,17,person1
4,0,0.0522458553314209,0,0.0522458553314209,0,person1
w,0.407146692276001,0.05845046043395996,0.348696231842041,0.407146692276001,1,person1
o,0.39446091651916504,0.058394670486450195,0.6842653751373291,0.743157148361206,2,person1
r,0.5049076080322266,0.05128026008605957,1.1383898258209229,1.1896700859069824,3,person1
d,0.28948259353637695,0.0586543083190918,1.369218111038208,1.4278724193572998,4,person1
s,0.14045095443725586,0.05486130714416504,1.4548077583312988,1.5096690654754639,5,person1
a,0.48543596267700195,0.07459473609924316,1.8656489849090576,1.9402437210083008,6,person1
l,0.3924293518066406,0.06164741516113281,2.1964309215545654,2.2580783367156982,7,person1
l,0.20878911018371582,0.06016230583190918,2.345057725906372,2.4052200317382812,8,person1
l,0.43349552154541016,0.05518174171447754,2.7233715057373047,2.7785532474517822,9,person1
o,0.21371006965637207,0.05581021308898926,2.8812713623046875,2.9370815753936768,10,person1
w,0.4505491256713867,0.0492711067199707,3.2825493812561035,3.331820487976074,11,person1
e,0.20159149169921875,0.05158066749572754,3.4325602054595947,3.4841408729553223,12,person1
r,0.19940972328186035,0.058908700942993164,3.573061227798462,3.631969928741455,13,person1
c,0.29703521728515625,0.060964345932006836,3.8091320991516113,3.870096445083618,14,person1
a,0.14263105392456055,0.05986642837524414,3.8918967247009277,3.951763153076172,15,person1
s,0.20434904098510742,0.05215287208557129,4.044092893600464,4.096245765686035,16,person1
e,0.21683549880981445,0.06170344352722168,4.199224948883057,4.260928392410278,17,person1
4,0,0.056620121002197266,0,0.056620121002197266,0,person1
w,0.45203399658203125,0.056485891342163086,0.39554810523986816,0.45203399658203125,1,person1
o,0.32915234565734863,0.06200599670410156,0.6626944541931152,0.7247004508972168,2,person1
r,0.39347076416015625,0.04559135437011719,1.0105738639831543,1.0561652183532715,3,person1
d,0.2179398536682129,0.062174320220947266,1.16633939743042,1.2285137176513672,4,person1
s,0.14655327796936035,0.04986715316772461,1.2630255222320557,1.3128926753997803,5,person1
a,0.3087441921234131,0.052814483642578125,1.5189552307128906,1.5717697143554688,6,person1
l,0.42731189727783203,0.05883169174194336,1.8874354362487793,1.9462671279907227,7,person1
l,0.21684646606445312,0.06558871269226074,2.0386931896209717,2.1042819023132324,8,person1
l,0.6212053298950195,0.05883979797363281,2.6010587215423584,2.659898519515991,9,person1
o,0.21884679794311523,0.0586395263671875,2.761265993118286,2.8199055194854736,10,person1
w,0.30184316635131836,0.04570960998535156,3.017399549484253,3.0631091594696045,11,person1
e,0.1995677947998047,0.04924440383911133,3.1677229404449463,3.2169673442840576,12,person1
r,0.19507408142089844,0.059090614318847656,3.303706407546997,3.3627970218658447,13,person1
c,0.2524716854095459,0.05921578407287598,3.496962308883667,3.556178092956543,14,person1
a,0.12989568710327148,0.05608057975769043,3.570777416229248,3.6268579959869385,15,person1
s,0.20125913619995117,0.05557990074157715,3.716456651687622,3.772036552429199,16,person1
e,0.20665979385375977,0.05971550941467285,3.863400936126709,3.923116445541382,17,person1
4,0,0.05279040336608887,0,0.05279040336608887,0,person1
w,1.018878698348999,0.059316158294677734,0.9595625400543213,1.018878698348999,1,person1
o,0.3172760009765625,0.05553150177001953,1.2213070392608643,1.2768385410308838,2,person1
r,0.5865912437438965,0.04992103576660156,1.7579772472381592,1.8078982830047607,3,person1
d,0.20136809349060059,0.06852149963378906,1.8908238410949707,1.9593453407287598,4,person1
s,0.15243101119995117,0.051671743392944336,1.9915831089019775,2.043254852294922,5,person1
a,0.928107500076294,0.06228518486022949,2.857405424118042,2.9196906089782715,6,person1
l,0.24718260765075684,0.05300641059875488,3.051581621170044,3.104588031768799,7,person1
l,0.19936800003051758,0.06601715087890625,3.1849324703216553,3.2509496212005615,8,person1
l,0.5741076469421387,0.05810713768005371,3.7009329795837402,3.759040117263794,9,person1
o,0.21985173225402832,0.058295249938964844,3.8624894618988037,3.9207847118377686,10,person1
w,0.5192403793334961,0.045711517333984375,4.336018323898315,4.3817298412323,11,person1
e,0.21326446533203125,0.05227923393249512,4.497003555297852,4.549282789230347,12,person1
r,0.19766712188720703,0.05484151840209961,4.639829158782959,4.694670677185059,13,person1
c,0.2668497562408447,0.05896162986755371,4.84771728515625,4.906678915023804,14,person1
a,0.12973618507385254,0.06266283988952637,4.914790630340576,4.9774534702301025,15,person1
s,0.22548198699951172,0.05624723434448242,5.0840253829956055,5.140272617340088,16,person1
e,0.22341156005859375,0.052134037017822266,5.255302906036377,5.307436943054199,17,person1
4,0,0.05964040756225586,0,0.05964040756225586,0,person1
w,0.4708831310272217,0.05222749710083008,0.4186556339263916,0.4708831310272217,1,person1
o,0.33878087997436523,0.06268835067749023,0.6947481632232666,0.7574365139007568,2,person1
r,0.42410945892333984,0.0465090274810791,1.0723485946655273,1.1188576221466064,3,person1
d,0.24619340896606445,0.06203031539916992,1.2565116882324219,1.3185420036315918,4,person1
s,0.16202330589294434,0.058942317962646484,1.3595926761627197,1.4185349941253662,5,person1
a,0.4705655574798584,0.06177949905395508,1.768378734588623,1.8301582336425781,6,person1
l,0.3086705207824707,0.05324888229370117,2.0238003730773926,2.0770492553710938,7,person1
l,0.2062995433807373,0.06565642356872559,2.1644434928894043,2.23009991645813,8,person1
l,0.33751392364501953,0.05470132827758789,2.447256088256836,2.501957416534424,9,person1
o,0.22382640838623047,0.05870556831359863,2.6123769283294678,2.6710824966430664,10,person1
w,0.31842851638793945,0.052025794982910156,2.878779649734497,2.9308054447174072,11,person1
e,0.2201840877532959,0.04971790313720703,3.049245834350586,3.098963737487793,12,person1
