char,deltaup,deltadown,downtime,uptime,char_index,user
4,0,0.09407567977905273,0,0.09407567977905273,0,rahil
w,0.3510558605194092,0.12420034408569336,0.22685551643371582,0.3510558605194092,1,rahil
o,0.24023127555847168,0.08294129371643066,0.38414549827575684,0.4670867919921875,2,rahil
r,0.15224385261535645,0.08169126510620117,0.4546980857849121,0.5363893508911133,3,rahil
d,0.3219599723815918,0.1582489013671875,0.6184091567993164,0.7766580581665039,4,rahil
s,0.24348044395446777,0.1574699878692627,0.7044196128845215,0.8618896007537842,5,rahil
a,0.2481403350830078,0.1234133243560791,0.8291466236114502,0.9525599479675293,6,rahil
l,0.24227285385131836,0.06699252128601074,1.0044269561767578,1.0714194774627686,7,rahil
l,0.21160435676574707,0.058409690856933594,1.1576216220855713,1.2160313129425049,8,rahil
l,0.1866903305053711,0.06878304481506348,1.275528907775879,1.3443119525909424,9,rahil
o,0.21935033798217773,0.05949711799621582,1.4353821277618408,1.4948792457580566,10,rahil
w,0.16287589073181152,0.13497424125671387,1.4632837772369385,1.5982580184936523,11,rahil
e,0.18417835235595703,0.07891321182250977,1.5685489177703857,1.6474621295928955,12,rahil
r,0.22920870780944824,0.061655521392822266,1.7361021041870117,1.797757625579834,13,rahil
c,0.3318161964416504,0.1294689178466797,1.9384493827819824,2.067918300628662,14,rahil
a,0.28650665283203125,0.17912077903747559,2.045835256576538,2.2249560356140137,15,rahil
s,0.28734469413757324,0.11195755004882812,2.221222400665283,2.3331799507141113,16,rahil
e,0.26038074493408203,0.04859113693237305,2.433012008666992,2.4816031455993652,17,rahil
4,0,0.08987569808959961,0,0.08987569808959961,0,rahil
w,0.354107141494751,0.1107175350189209,0.24338960647583008,0.354107141494751,1,rahil
o,0.2124321460723877,0.07464098930358887,0.3811807632446289,0.4558217525482178,2,rahil
r,0.15568852424621582,0.07705855369567871,0.459810733795166,0.5368692874908447,3,rahil
d,0.32849955558776855,0.15533137321472168,0.6329789161682129,0.7883102893829346,4,rahil
s,0.24136090278625488,0.15127825736999512,0.7230615615844727,0.8743398189544678,5,rahil
a,0.2786073684692383,0.11808323860168457,0.8835856914520264,1.001668930053711,6,rahil
l,0.21920442581176758,0.06146550178527832,1.0413246154785156,1.102790117263794,7,rahil
l,0.21278858184814453,0.05537295341491699,1.1987402439117432,1.2541131973266602,8,rahil
l,0.18786215782165527,0.06685614585876465,1.3197462558746338,1.3866024017333984,9,rahil
o,0.21175861358642578,0.06517219543457031,1.4663326740264893,1.5315048694610596,10,rahil
w,0.16098833084106445,0.11470770835876465,1.512613296508789,1.6273210048675537,11,rahil
e,0.1686708927154541,0.07897520065307617,1.602308988571167,1.6812841892242432,12,rahil
r,0.23218631744384766,0.06786775588989258,1.766627550125122,1.8344953060150146,13,rahil
c,0.2984621524810791,0.1195991039276123,1.9454905986785889,2.065089702606201,14,rahil
a,0.25520777702331543,0.1650218963623047,2.0356764793395996,2.2006983757019043,15,rahil
s,0.2742002010345459,0.11152410507202148,2.198352575302124,2.3098766803741455,16,rahil
e,0.2805454730987549,0.05436277389526367,2.4245352745056152,2.478898048400879,17,rahil
4,0,0.07151579856872559,0,0.07151579856872559,0,rahil
w,0.30988550186157227,0.0964653491973877,0.21342015266418457,0.30988550186157227,1,rahil
o,0.20938491821289062,0.06807971000671387,0.35472536087036133,0.4228050708770752,2,rahil
r,0.14664435386657715,0.08055901527404785,0.4208106994628906,0.5013697147369385,3,rahil
d,0.3231666088104248,0.15752100944519043,0.586456298828125,0.7439773082733154,4,rahil
s,0.23357319831848145,0.15436434745788574,0.6656651496887207,0.8200294971466064,5,rahil
a,0.2427809238433838,0.12732815742492676,0.7811179161071777,0.9084460735321045,6,rahil
l,0.2418673038482666,0.05539417266845703,0.9675910472869873,1.0229852199554443,7,rahil
l,0.20122194290161133,0.05510759353637695,1.1137053966522217,1.1688129901885986,8,rahil
l,0.1855313777923584,0.06516337394714355,1.2340734004974365,1.29923677444458,9,rahil
o,0.22591423988342285,0.06671619415283203,1.3932714462280273,1.4599876403808594,10,rahil
w,0.14229178428649902,0.11803722381591797,1.4175260066986084,1.5355632305145264,11,rahil
e,0.17393827438354492,0.0849297046661377,1.5065345764160156,1.5914642810821533,12,rahil
r,0.2319960594177246,0.05760478973388672,1.6809258460998535,1.7385306358337402,13,rahil
c,0.31946802139282227,0.1282193660736084,1.8721745014190674,2.000393867492676,14,rahil
a,0.27008867263793945,0.18748784065246582,1.954775333404541,2.142263174057007,15,rahil
s,0.3169863224029541,0.12673139572143555,2.1450302600860596,2.271761655807495,16,rahil
e,0.2671990394592285,0.04808378219604492,2.364145517349243,2.412229299545288,17,rahil
4,0,0.0905911922454834,0,0.0905911922454834,0,rahil
w,0.32236480712890625,0.10254049301147461,0.21982431411743164,0.32236480712890625,1,rahil
o,0.23421669006347656,0.060912370681762695,0.3931286334991455,0.4540410041809082,2,rahil
r,0.16983318328857422,0.10007762908935547,0.46288418769836426,0.5629618167877197,3,rahil
d,0.3668057918548584,0.1866774559020996,0.643012523651123,0.8296899795532227,4,rahil
s,0.2616264820098877,0.17057561874389648,0.7340633869171143,0.9046390056610107,5,rahil
a,0.263873815536499,0.13236236572265625,0.865574836730957,0.9979372024536133,6,rahil
l,0.2439136505126953,0.0670170783996582,1.0424714088439941,1.1094884872436523,7,rahil
l,0.21814179420471191,0.05560755729675293,1.2050056457519531,1.260613203048706,8,rahil
l,0.18230557441711426,0.0656135082244873,1.32169771194458,1.3873112201690674,9,rahil
o,0.22206878662109375,0.07213354110717773,1.471632957458496,1.5437664985656738,10,rahil
w,0.21509671211242676,0.1453535556793213,1.5413761138916016,1.6867296695709229,11,rahil
e,0.19432497024536133,0.08865189552307129,1.6470491886138916,1.735701084136963,12,rahil
r,0.25098228454589844,0.06862092018127441,1.8294105529785156,1.89803147315979,13,rahil
c,0.33775782585144043,0.14500975608825684,2.022158622741699,2.167168378829956,14,rahil
a,0.3031504154205322,0.19135713577270508,2.1339519023895264,2.3253090381622314,15,rahil
s,0.3001577854156494,0.11116194725036621,2.3229477405548096,2.434109687805176,16,rahil
e,0.24765872955322266,0.036652565002441406,2.533953905105591,2.5706064701080322,17,rahil
4,0,0.06733846664428711,0,0.06733846664428711,0,rahil
w,0.34725022315979004,0.13433003425598145,0.2129201889038086,0.34725022315979004,1,rahil
o,0.23889732360839844,0.06521844863891602,0.386599063873291,0.45181751251220703,2,rahil
